Name,RA,DEC,GL,GB,Period (s),Frequency (Hz),DM,W10 (ms),W50 (ms)
J1543-5149,15:43:44.1498,-51:49:54.685,327.921,2.47896,0.00205696039242,486.15423208300,50.93,1.14,0.27
J1543-5459,15:43:56.25,-54:59:13.7,326.024,-0.0437208,0.377118562635,2.65168596585,345.7,37,15
J1544+4937,15:44:04.48722,+49:37:55.2545,79.172,50.1658,0.00215928839043,463.11553585462,23.2258,0,0
J1544-5308,15:44:59.844,-53:08:46.5,327.271,1.32024,0.178553799688,5.60055289637,35.16,11,4.6
J1545-4550,15:45:55.94596,-45:50:37.5272,331.892,6.98758,0.00357528861884712,279.697699013,68.390,0.299,0.128
J1546-3747A,15:46:03.44,-37:47:10.1,337.024,13.2677,0.0026056722466,383.778121483,92.17,0,0
J1546-5302,15:46:07.4,-53:02:23.0,327.47,1.30076,0.58083988615,1.7216448523,287,190,8.8
J1546-59,15:46,-59,323.791,-3.39009,0.00780,128.205128205,168.3,0,0.67
J1547-0944,15:47:46.058,-09:44:7.8,358.314,33.5731,1.576924632943,0.634145715724,37.416,0,30
J1547-5750,15:47:30.60,-57:50:29.4,324.663,-2.60057,0.647197746656,1.54512280855,148,0,39
J1547-5839,15:47:34.99,-58:39:09.8,324.167,-3.24343,0.242190323768,4.12898411647,222.3,42,13
J1548-4821,15:48:23.26,-48:21:49.7,330.649,4.75252,0.14565471947,6.86555165283,126.0,0,12
J1548-4927,15:48:19.47,-49:27:40.4,329.956,3.90019,0.602738077704,1.65909544625,141.2,20,12
J1548-5607,15:48:44.03,-56:07:33.9,325.858,-1.35881,0.170933992695,5.85021144264,315.5,19,7.5
J1549+2113,15:49:40.941,+21:13:26.9,34.6254,49.1287,1.262471311613,0.792097207122,24.8,22,7
J1549-4848,15:49:21.154,-48:48:37.44,330.494,4.30401,0.288346763122,3.46804656023,55.983,15,6.1
J1549-57,15:49:05,-57:21:37,325.127,-2.35438,0.7375,1.35593220339,17.7,0,4
J1549-5722,15:49:47.9,-57:22:02,325.198,-2.42,0.49777239400,2.00895029948,102,0,13
J1550-5242,15:50:02.95,-52:42:07.0,328.144,1.19831,0.74965894957,1.33393992104,337.7,22,11
J1550-5317,15:50:04.8,-53:17:21,327.78,0.7373,1.42112434544,0.70366819287,600,0,85
